ID	VALUE
1113479	0
1113483	1445
1113487	0
1113491	0
1113495	1160
1113499	1437
1113503	5231
1113507	2983
1113511	159
1113515	211
1113519	178
1113523	0
1113527	0
1113531	206
1113535	0
1113539	0
1113543	90
1113547	19
1113551	7839
1113555	0
1113559	65
1113563	0
1113567	0
1113571	1086
1113575	35
1113579	868
1113583	82
1113587	692
1113591	1830
1113595	2621
1113599	110
1113603	0
1113607	0
1113611	1097
1113615	0
1113619	0
1113623	0
1113627	2397
1113631	0
1113635	0
1113639	0
1113643	0
1113647	72
1113651	0
1113655	3015
1113659	0
1113663	0
1113667	419
1113671	170
1113675	0
1113679	0
1113683	0
1113687	0
1113691	1190
1113695	0
1113699	0
1113703	0
1113707	0
1113711	0
1113715	0
1113719	4405
1113723	0
1113727	663
1113731	737
1113735	0
1113739	158
1113743	258
1113747	0
1113751	464
1113755	161
1113759	324
1113763	876
1113767	183
1113771	0
1113775	1547
1113779	613
1113783	0
1113787	225
1113791	38
1113795	1762
1113799	6809
1113803	0
1113807	4478
1113811	65
1113815	23
1113819	0
1113823	358
1113827	8514
1113831	2975
1113835	90
1113839	12
1113843	165
1113847	0
1113851	0
1113855	579
1113859	235
1113863	0
1113867	415
1113871	1922
1113875	4577
1113879	0
1113883	371
1113887	0
1113891	0
1113895	1927
1113899	0
1113903	525
1113907	82
1113911	87
1113915	434
1113919	862
1113923	25
1113927	10
1113931	60
1113935	0
1113939	0
1113943	585
1113947	0
1113951	347
1113955	0
1113959	0
1113963	2654
1113967	782
1113971	180
1113975	0
1113979	1348
1113983	267
1113987	0
1113991	217
1113995	208
1113999	0
1114003	32
1114007	0
1114011	0
1114015	712
1114019	0
1114023	0
1114027	0
1114031	0
1114035	270
1114039	0
1114043	443
1114047	0
1114051	0
1114055	110
1114059	0
1114063	95
1114067	304
1114071	0
1114075	368
1114079	1841
1114083	45
1114087	1217
1114091	172
1114095	0
1114099	2335
1114103	0
1114107	102
1114111	429
1114115	70
1114119	228
1114123	1161
1114127	0
1114131	2148
1114135	265
1114139	84
1114143	0
1114147	1295
1114151	925
1114155	819
1114159	0
1114163	0
1114167	0
1114171	0
1114175	0
1114179	0
1114183	0
1114187	0
1114191	0
1114195	0
1114199	480
1114203	0
1114207	46
1114211	0
1114215	0
1114219	170
1114223	0
1114227	0
1114231	0
1114235	30
1114239	360
1114243	10
1114247	0
1114251	0
1114255	0
1114259	0
1114263	0
1114267	0
1114271	0
1114275	220
1114279	0
1114283	0
1114287	69
1114291	0
1114295	180
1114299	0
1114303	0
1114307	0
1114311	0
1114315	0
1114319	227
1114323	0
1114327	0
1114331	210
1114335	0
1114339	0
1114343	0
1114347	0
1114351	0
1114355	75
1114359	220
1114363	0
1114367	310
1114371	0
1114375	40
1114379	0
1114383	120
1114387	1010
1114391	0
1114395	0
1114399	152
1114403	0
1114407	0
1114411	65
1114415	0
1114419	0
1114423	63
1114427	0
1114431	141
1114435	0
1114439	0
1114443	0
1114447	1136
1114451	0
1114455	138
1114459	0
1114463	0
1114467	0
1114471	260
1114475	511
1114479	3906
1114483	353
1114487	351
1114491	907
1114495	140
1114499	0
1114503	23
1114507	0
1114511	0
1114515	258
1114519	206
1114523	7395
1114527	42
1114531	110
1114535	0
1114539	0
1114543	1565
1114547	0
1114551	1152
1114555	0
1114559	214
1114563	1271
1114567	1254
1114571	472
1114575	0
1114579	0
1114583	8
1114587	2
1114591	237
1114595	9
1114599	877
1114603	0
1114607	0
1114611	9
1114615	171
1114619	56
1114623	0
1114627	416
1114631	0
1114635	0
1114639	202
1114643	380
1114647	0
1114651	0
1114655	100
1114659	0
1114663	384
1114667	0
1114671	0
1114675	20
1114679	4429
1114683	3386
1114687	1129
1114691	5288
1114695	56
1114699	832
1114703	50
1114707	828
1114711	20326
1114715	120
1114719	28
1114723	1449
1114727	36
1114731	383
1114735	1199
1114739	0
1114743	0
1114747	968
1114751	78
1114755	6598
1114759	210
1114763	0
1114767	145
1114771	4077
1114775	0
1114779	1442
1114783	0
1114787	140
1114791	70
1114795	1931
1114799	7598
1114803	1231
1114807	0
1114811	205
1114815	71
1114819	0
1114823	0
1114827	0
1114831	0
1114835	0
1114839	204
1114843	150
1114847	3714
1114851	0
1114855	0
1114859	0
1114863	0
1114867	0
1114871	0
1114875	428
1114879	0
1114883	188
1114887	638
1114891	0
1114895	180
1114899	0
1114903	0
1114907	59
1114911	0
1114915	0
1114919	0
1114923	0
1114927	0
1114931	0
1114935	330
1114939	0
1114943	0
1114947	0
1114951	0
1114955	0
1114959	0
1114963	90
1114967	559
1114971	0
1114975	0
1114979	160
1114983	0
1114987	0
1114991	0
1114995	0
1114999	98
1115003	2519
1115007	3454
1115011	402
1115015	2047
1115019	0
1115023	0
1115027	0
1115031	0
1115035	3125
1115039	0
1115043	0
1115047	1526
1115051	30
1115055	143
1115059	213
1115063	0
1115067	0
1115071	27
1115075	0
1115079	1513
1115083	0
1115087	0
1115091	0
1115095	413
1115099	0
1115103	250
1115107	0
1115111	100
1115115	145
1115119	408
1115123	945
1115127	20048
1115131	258
1115135	913
1115139	874
1115143	0
1115147	0
1115151	609
1115155	0
1115159	0
1115163	477
1115167	236
1115171	3067
1115175	0
1115179	1374
1115183	0
1115187	0
1115191	279
1115195	0
1115199	2919
1115203	504
1115207	3319
1115211	2097
1115215	1513
1115219	1371
1115223	0
1115227	0
1115231	75
1115235	0
1115239	208
1115243	0
1115247	1033
1115251	0
1115255	0
1115259	0
1115263	439
1115267	35
1115271	0
1115275	1285
1115279	0
1115283	0
1115287	585
1115291	1778
1115295	0
1115299	0
1115303	262
1115307	0
1115311	1428
1115315	0
1115319	235
1115323	0
1115327	7864
1115331	6131
1115335	2061
1115339	10878
1115343	0
1115347	1291
1115351	285
1115355	1078
1115359	12236
1115363	0
1115367	0
1115371	1292
1115375	0
1115379	625
1115383	625
1115387	98
1115391	0
1115395	620
1115399	0
1115403	7391
1115407	1298
1115411	99
1115415	60
1115419	2525
1115423	0
1115427	1465
1115431	0
1115435	0
1115439	125
1115443	1409
1115447	6369
1115451	2822
1115455	57
1115459	0
1115463	273
1115467	98
1115471	0
1115475	0
1115479	0
1115483	0
1115487	60
1115491	0
1115495	1870
1115499	0
1115503	796
1115507	0
1115511	0
1115515	614
1115519	0
1115523	599
1115527	0
1115531	0
1115535	220
1115539	0
1115543	100
1115547	0
1115551	0
1115555	0
1115559	0
1115563	5
1115567	0
1115571	125
1115575	0
1115579	0
1115583	0
1115587	0
1115591	0
1115595	0
1115599	0
1115603	0
1115607	0
1115611	0
1115615	912
1115619	0
1115623	0
1115627	215
1115631	0
1115635	0
1115639	0
1115643	0
1115647	0
1115651	3128
1115655	110
1115659	0
1115663	1638
1115667	0
1115671	566
1115675	0
1115679	1027
1115683	2257
1115687	0
1115691	0
1115695	524
1115699	0
1115703	65
1115707	0
1115711	240
1115715	0
1115719	0
1115723	0
1115727	1716
1115731	546
1115735	0
1115739	0
1115743	80
1115747	0
1115751	86
1115755	0
1115759	0
1115763	72
1115767	424
1115771	192
1115775	3091
1115779	76
1115783	0
1115787	54
1115791	0
1115795	0
1115799	0
1115803	0
1115807	0
1115811	0
1115815	40
1115819	1827
1115823	19
1115827	492
1115831	0
1115835	0
1115839	1014
1115843	0
1115847	27
1115851	0
1115855	197
1115859	39
1115863	10
1115867	0
1115871	0
1115875	10
1115879	0
1115883	20
1115887	50
1115891	15
1115895	66
1115899	0
1115903	0
1115907	0
1115911	70
1115915	0
1115919	0
1115923	500
1115927	0
1115931	0
1115935	725
1115939	1666
1115943	0
1115947	0
1115951	19
1115955	0
1115959	0
1115963	0
1115967	0
1115971	152
1115975	215
1115979	435
1115983	0
1115987	805
1115991	30
1115995	224
1115999	14
1116003	346
1116007	3860
1116011	0
1116015	0
1116019	434
1116023	66
1116027	0
1116031	0
1116035	0
1116039	0
1116043	164
1116047	0
1116051	835
1116055	440
1116059	0
1116063	10
1116067	487
1116071	0
1116075	536
1116079	0
1116083	186
1116087	12
1116091	1044
1116095	624
1116099	5690
1116103	325
1116107	285
1116111	110
1116115	72
1116119	0
1116123	0
1116127	0
1116131	0
1116135	782
1116139	100
1116143	4597
1116147	0
1116151	341
1116155	0
1116159	0
1116163	539
1116167	0
1116171	901
1116175	164
1116179	102
1116183	289
1116187	290
1116191	6777
1116195	0
1116199	0
1116203	0
1116207	0
1116211	0
1116215	0
1116219	0
1116223	0
1116227	0
1116231	0
1116235	405
1116239	0
1116243	0
1116247	266
1116251	0
1116255	0
1116259	374
1116263	1287
1116267	0
1116271	0
1116275	4387
1116279	0
1116283	670
1116287	0
1116291	0
1116295	144
1116299	1287
1116303	1445
1116307	1342
1116311	17709
1116315	0
1116319	610
1116323	115
1116327	860
1116331	3005
1116335	0
1116339	0
1116343	954
1116347	0
1116351	0
1116355	85
1116359	61
1116363	0
1116367	0
1116371	0
1116375	1580
1116379	807
1116383	331
1116387	52
1116391	329
1116395	0
1116399	475
1116403	100
1116407	0
1116411	0
1116415	303
1116419	2607
1116423	5628
1116427	55
1116431	285
1116435	351
1116439	216
1116443	0
1116447	179
1116451	0
1116455	0
1116459	267
1116463	240
1116467	3480
1116471	0
1116475	622
1116479	0
1116483	0
1116487	1179
1116491	0
1116495	158
1116499	0
1116503	5
1116507	1062
1116511	1286
1116515	20
1116519	0
1116523	25
1116527	0
1116531	0
1116535	36
1116539	0
1116543	479
1116547	0
1116551	0
1116555	0
1116559	228
1116563	168
1116567	0
1116571	158
1116575	0
1116579	0
1116583	313
1116587	764
1116591	0
1116595	0
1116599	0
1116603	0
1116607	76
1116611	0
1116615	0
1116619	98
1116623	1363
1116627	4618
1116631	0
1116635	2291
1116639	199
1116643	304
1116647	40
1116651	293
1116655	8139
1116659	55
1116663	0
1116667	755
1116671	0
1116675	184
1116679	285
1116683	0
1116687	0
1116691	118
1116695	27
1116699	1495
1116703	1063
1116707	0
1116711	231
1116715	1537
1116719	0
1116723	1471
1116727	0
1116731	0
1116735	567
1116739	3014
1116743	1997
1116747	3485
1116751	159
1116755	289
1116759	224
1116763	0
1116767	0
1116771	26
1116775	0
1116779	0
1116783	302
1116787	603
1116791	8043
1116795	0
1116799	60
1116803	0
1116807	0
1116811	1226
1116815	180
1116819	891
1116823	216
1116827	852
1116831	1961
1116835	2129
1116839	180
1116843	0
1116847	0
1116851	865
1116855	0
1116859	180
1116863	0
1116867	2038
1116871	0
1116875	0
1116879	305
1116883	0
1116887	102
1116891	0
1116895	1609
1116899	0
1116903	0
1116907	50
1116911	201
1116915	0
1116919	0
1116923	0
1116927	0
1116931	820
1116935	0
1116939	0
1116943	0
1116947	0
1116951	0
1116955	0
1116959	2600
1116963	0
1116967	887
1116971	773
1116975	0
1116979	68
1116983	292
1116987	0
1116991	576
1116995	490
1116999	249
1117003	772
1117007	193
1117011	0
1117015	1096
1117019	782
1117023	0
1117027	164
1117031	0
1117035	1187
1117039	8032
1117043	0
1117047	5041
1117051	85
1117055	0
1117059	0
1117063	552
1117067	10302
1117071	13865
1117075	445
1117079	696
1117083	40
1117087	57
1117091	0
1117095	499
1117099	327
1117103	30
1117107	463
1117111	7306
1117115	11120
1117119	95
1117123	1247
1117127	0
1117131	0
1117135	3437
1117139	0
1117143	1241
1117147	82
1117151	128
1117155	669
1117159	772
1117163	25
1117167	185
1117171	0
1117175	360
1117179	0
1117183	277
1117187	0
1117191	579
1117195	0
1117199	0
1117203	6726
1117207	456
1117211	279
1117215	0
1117219	4368
1117223	233
1117227	0
1117231	274
1117235	423
1117239	0
1117243	145
1117247	164
1117251	0
1117255	668
1117259	0
1117263	1255
1117267	0
1117271	0
1117275	2220
1117279	0
1117283	2196
1117287	0
1117291	214
1117295	395
1117299	0
1117303	285
1117307	330
1117311	20
1117315	2063
1117319	5015
1117323	20
1117327	3294
1117331	148
1117335	259
1117339	7219
1117343	0
1117347	433
1117351	70
1117355	0
1117359	812
1117363	4077
1117367	0
1117371	2719
1117375	148
1117379	305
1117383	0
1117387	3481
1117391	1891
1117395	3158
1117399	0
1117403	110
1117407	172
1117411	192
1117415	0
1117419	361
1117423	0
1117427	0
1117431	0
1117435	557
1117439	1837
1117443	0
1117447	280
1117451	0
1117455	0
1117459	408
1117463	0
1117467	774
1117471	0
1117475	228
1117479	558
1117483	135
1117487	458
1117491	0
1117495	0
1117499	0
1117503	0
1117507	0
1117511	0
1117515	96
1117519	0
1117523	0
1117527	0
1117531	0
1117535	37
1117539	0
1117543	0
1117547	0
1117551	0
1117555	0
1117559	347
1117563	0
1117567	0
1117571	0
1117575	0
1117579	572
1117583	0
1117587	0
1117591	0
1117595	1787
1117599	310
1117603	730
1117607	1075
1117611	0
1117615	40
1117619	0
1117623	530
1117627	3228
1117631	0
1117635	0
1117639	1168
1117643	78
1117647	0
1117651	0
1117655	0
1117659	54
1117663	0
1117667	0
1117671	862
1117675	240
1117679	49
1117683	0
1117687	1504
1117691	0
1117695	314
1117699	0
1117703	20
1117707	0
1117711	1027
1117715	671
1117719	7551
1117723	695
1117727	869
1117731	1586
1117735	66
1117739	0
1117743	390
1117747	0
1117751	0
1117755	491
1117759	339
1117763	10519
1117767	91
1117771	520
1117775	0
1117779	0
1117783	1711
1117787	0
1117791	2404
1117795	171
1117799	705
1117803	2896
1117807	2703
1117811	623
1117815	0
1117819	0
1117823	272
1117827	10
1117831	271
1117835	50
1117839	1459
1117843	0
1117847	0
1117851	74
1117855	48
1117859	395
1117863	0
1117867	1267
1117871	0
1117875	0
1117879	537
1117883	865
1117887	0
1117891	0
1117895	32
1117899	0
1117903	555
1117907	0
1117911	0
1117915	117
1117919	6024
1117923	6908
1117927	2300
1117931	6486
1117935	0
1117939	1704
1117943	155
1117947	1989
1117951	26805
1117955	51
1117959	37
1117963	1370
1117967	57
1117971	377
1117975	631
1117979	201
1117983	99
1117987	890
1117991	74
1117995	8715
1117999	110
1118003	0
1118007	648
1118011	3603
1118015	0
1118019	2390
1118023	115
1118027	156
1118031	385
1118035	3800
1118039	8264
1118043	2372
1118047	395
1118051	285
1118055	290
1118059	0
1118063	0
1118067	295
1118071	0
1118075	0
1118079	0
1118083	200
1118087	4346
1118091	0
1118095	336
1118099	0
1118103	0
1118107	470
1118111	0
1118115	1443
1118119	0
1118123	48
1118127	867
1118131	89
1118135	1154
1118139	0
1118143	0
1118147	200
1118151	0
1118155	115
1118159	0
1118163	0
1118167	0
1118171	0
1118175	90
1118179	0
1118183	216
1118187	0
1118191	0
1118195	182
1118199	0
1118203	95
1118207	263
1118211	0
1118215	0
1118219	729
1118223	0
1118227	727
1118231	0
1118235	0
1118239	0
1118243	2394
1118247	1699
1118251	120
1118255	3897
1118259	0
1118263	0
1118267	0
1118271	840
1118275	2131
1118279	40
1118283	0
1118287	1355
1118291	30
1118295	350
1118299	237
1118303	0
1118307	27
1118311	0
1118315	0
1118319	1362
1118323	0
1118327	38
1118331	0
1118335	793
1118339	0
1118343	212
1118347	0
1118351	0
1118355	0
1118359	1924
1118363	1350
1118367	21077
1118371	639
1118375	602
1118379	756
1118383	161
1118387	0
1118391	1102
1118395	0
1118399	0
1118403	330
1118407	466
1118411	2754
1118415	180
1118419	974
1118423	0
1118427	0
1118431	728
1118435	0
1118439	3744
1118443	330
1118447	2113
1118451	1754
1118455	1611
1118459	673
1118463	0
1118467	0
1118471	0
1118475	0
1118479	0
1118483	0
1118487	412
1118491	0
1118495	60
1118499	630
1118503	0
1118507	0
1118511	0
1118515	1398
1118519	0
1118523	0
1118527	0
1118531	1251
1118535	0
1118539	0
1118543	60
1118547	0
1118551	1573
1118555	0
1118559	50
1118563	0
1118567	10400
1118571	9148
1118575	1944
1118579	11545
1118583	0
1118587	1390
1118591	0
1118595	704
1118599	17001
1118603	80
1118607	0
1118611	679
1118615	0
1118619	750
1118623	680
1118627	196
1118631	0
1118635	797
1118639	0
1118643	4663
1118647	1209
1118651	143
1118655	294
1118659	3385
1118663	0
1118667	2733
1118671	0
1118675	0
1118679	350
1118683	767
1118687	7161
1118691	9466
1118695	209
1118699	0
1118703	2797
1118707	102
1118711	0
1118715	0
1118719	0
1118723	0
1118727	160
1118731	731
1118735	7022
1118739	0
1118743	2199
1118747	0
1118751	0
1118755	3101
1118759	0
1118763	1321
1118767	0
1118771	333
1118775	1207
1118779	165
1118783	167
1118787	0
1118791	0
1118795	0
1118799	0
1118803	0
1118807	0
1118811	177
1118815	0
1118819	0
1118823	0
1118827	0
1118831	0
1118835	0
1118839	307
1118843	0
1118847	0
1118851	729
1118855	2476
1118859	0
1118863	0
1118867	1126
1118871	0
1118875	0
1118879	0
1118883	0
1118887	0
1118891	5329
1118895	4175
1118899	425
1118903	7630
1118907	1100
1118911	778
1118915	0
1118919	1667
1118923	10149
1118927	0
1118931	0
1118935	2368
1118939	0
1118943	25
1118947	0
1118951	0
1118955	0
1118959	390
1118963	100
1118967	1882
1118971	84
1118975	0
1118979	0
1118983	180
1118987	0
1118991	378
1118995	0
1118999	0
1119003	33
1119007	1879
1119011	2016
1119015	5981
1119019	64
1119023	0
1119027	281
1119031	276
1119035	0
1119039	0
1119043	26
1119047	0
1119051	274
1119055	861
1119059	7273
1119063	20
1119067	1443
1119071	0
1119075	0
1119079	3115
1119083	0
1119087	361
1119091	85
1119095	9
1119099	159
1119103	179
1119107	230
1119111	0
1119115	135
1119119	0
1119123	70
1119127	751
1119131	165
1119135	202
1119139	0
1119143	0
1119147	248
1119151	4
1119155	42
1119159	0
1119163	40
1119167	0
1119171	0
1119175	661
1119179	1208
1119183	0
1119187	0
1119191	0
1119195	0
1119199	218
1119203	0
1119207	0
1119211	0
1119215	425
1119219	2066
1119223	480
1119227	2412
1119231	15
1119235	553
1119239	202
1119243	529
1119247	7894
1119251	150
1119255	20
1119259	2928
1119263	138
1119267	0
1119271	558
1119275	0
1119279	0
1119283	280
1119287	0
1119291	1361
1119295	256
1119299	0
1119303	48
1119307	1521
1119311	0
1119315	1051
1119319	0
1119323	120
1119327	573
1119331	2365
1119335	1286
1119339	14064
1119343	514
1119347	459
1119351	110
1119355	83
1119359	0
1119363	15
1119367	0
1119371	0
1119375	1325
1119379	1130
1119383	3640
1119387	0
1119391	1422
1119395	0
1119399	0
1119403	249
1119407	0
1119411	1869
1119415	82
1119419	1436
1119423	775
1119427	427
1119431	4118
1119435	0
1119439	0
1119443	0
1119447	60
1119451	0
1119455	0
1119459	65
1119463	0
1119467	230
1119471	217
1119475	335
1119479	60
1119483	0
1119487	235
1119491	0
1119495	0
1119499	582
1119503	1401
1119507	0
1119511	0
1119515	2612
1119519	0
1119523	90
1119527	0
1119531	120
1119535	255
1119539	3031
1119543	3507
1119547	1952
1119551	12863
1119555	0
1119559	675
1119563	0
1119567	755
1119571	5409
1119575	0
1119579	0
1119583	1870
1119587	607
1119591	520
1119595	985
1119599	50
1119603	377
1119607	67
1119611	0
1119615	1399
1119619	664
1119623	509
1119627	525
1119631	1062
1119635	0
1119639	1490
1119643	28
1119647	0
1119651	0
1119655	514
1119659	5304
1119663	1787
1119667	105
1119671	129
1119675	169
1119679	0
1119683	0
1119687	180
1119691	0
1119695	0
1119699	439
1119703	20
1119707	1406
1119711	0
1119715	305
1119719	0
1119723	0
1119727	343
1119731	0
1119735	183
1119739	0
1119743	202
1119747	488
1119751	145
1119755	486
1119759	0
1119763	0
1119767	0
1119771	0
1119775	0
1119779	0
1119783	272
1119787	0
1119791	0
1119795	0
1119799	0
1119803	30
1119807	0
1119811	496
1119815	0
1119819	0
1119823	367
1119827	853
1119831	0
1119835	0
1119839	72
1119843	0
1119847	227
1119851	0
1119855	0
1119859	0
1119863	1200
1119867	2633
1119871	0
1119875	1763
1119879	0
1119883	315
1119887	0
1119891	670
1119895	2947
1119899	0
1119903	0
1119907	454
1119911	90
1119915	105
1119919	178
1119923	0
1119927	0
1119931	121
1119935	0
1119939	374
1119943	107
1119947	0
1119951	0
1119955	595
1119959	0
1119963	556
1119967	0
1119971	125
1119975	50
1119979	849
1119983	935
1119987	4896
1119991	204
1119995	442
1119999	230
1120003	120
1120007	0
1120011	460
1120015	0
1120019	0
1120023	0
1120027	760
1120031	9630
1120035	469
1120039	60
1120043	0
1120047	0
1120051	1865
1120055	86
1120059	1891
1120063	0
1120067	1274
1120071	4901
1120075	2635
1120079	320
1120083	0
1120087	0
1120091	1030
1120095	0
1120099	48
1120103	0
1120107	3525
1120111	0
1120115	0
1120119	355
1120123	64
1120127	178
1120131	0
1120135	3354
1120139	19
1120143	0
1120147	315
1120151	410
1120155	0
1120159	0
1120163	0
1120167	0
1120171	1621
1120175	0
1120179	0
1120183	0
1120187	0
1120191	0
1120195	0
1120199	6237
1120203	0
1120207	1645
1120211	356
1120215	0
1120219	394
1120223	202
1120227	86
1120231	614
1120235	853
1120239	267
1120243	2026
1120247	334
1120251	0
1120255	1791
1120259	896
1120263	60
1120267	0
1120271	85
1120275	1345
1120279	11388
1120283	0
1120287	6449
1120291	52
1120295	207
1120299	0
1120303	974
1120307	8051
1120311	12422
1120315	440
1120319	678
1120323	67
1120327	83
1120331	116
1120335	1551
1120339	1194
1120343	615
1120347	105
1120351	9062
1120355	14687
1120359	0
1120363	1952
1120367	0
1120371	0
1120375	2974
1120379	455
1120383	1570
1120387	171
1120391	387
1120395	1269
1120399	1605
1120403	173
1120407	0
1120411	0
1120415	300
1120419	0
1120423	181
1120427	0
1120431	358
1120435	0
1120439	750
1120443	6175
1120447	1478
1120451	426
1120455	0
1120459	3833
1120463	90
1120467	0
1120471	172
1120475	635
1120479	0
1120483	499
1120487	81
1120491	0
1120495	1527
1120499	0
1120503	600
1120507	260
1120511	0
1120515	2260
1120519	0
1120523	2150
1120527	0
1120531	421
1120535	0
1120539	225
1120543	410
1120547	708
1120551	65
1120555	1939
1120559	3797
1120563	168
1120567	2420
1120571	442
1120575	248
1120579	5647
1120583	0
1120587	347
1120591	62
1120595	130
1120599	938
1120603	3796
1120607	0
1120611	4221
1120615	50
1120619	363
1120623	0
1120627	3472
1120631	1695
1120635	10172
1120639	220
1120643	898
1120647	356
1120651	216
1120655	0
1120659	591
1120663	0
1120667	0
1120671	0
1120675	1303
1120679	5852
1120683	0
1120687	986
1120691	0
1120695	0
1120699	1010
1120703	0
1120707	1977
1120711	338
1120715	2211
1120719	1239
1120723	528
1120727	1095
1120731	0
1120735	0
1120739	179
1120743	0
1120747	0
1120751	0
1120755	168
1120759	0
1120763	0
1120767	736
1120771	0
1120775	80
1120779	0
1120783	452
1120787	0
1120791	0
1120795	700
1120799	1015
1120803	0
1120807	0
1120811	0
1120815	0
1120819	725
1120823	0
1120827	50
1120831	35
1120835	3866
1120839	5004
1120843	985
1120847	5143
1120851	0
1120855	140
1120859	0
1120863	1488
1120867	10060
1120871	0
1120875	0
1120879	3666
1120883	60
1120887	150
1120891	1213
1120895	259
1120899	0
1120903	242
1120907	0
1120911	2640
1120915	0
1120919	0
1120923	269
1120927	1049
1120931	0
1120935	2018
1120939	0
1120943	0
1120947	0
1120951	4224
1120955	3550
1120959	2824
1120963	219
1120967	494
1120971	927
1120975	167
1120979	0
1120983	158
1120987	0
1120991	0
1120995	207
1120999	194
1121003	6899
1121007	10
1121011	852
1121015	0
1121019	0
1121023	1299
1121027	0
1121031	622
1121035	0
1121039	321
1121043	1198
1121047	814
1121051	145
1121055	0
1121059	0
1121063	161
1121067	0
1121071	40
1121075	63
1121079	962
1121083	0
1121087	42
1121091	194
1121095	41
1121099	120
1121103	0
1121107	555
1121111	0
1121115	0
1121119	261
1121123	583
1121127	0
1121131	0
1121135	141
1121139	0
1121143	0
1121147	0
1121151	0
1121155	0
1121159	2961
1121163	4124
1121167	805
1121171	3808
1121175	0
1121179	1312
1121183	10
1121187	973
1121191	13927
1121195	16
1121199	50
1121203	1014
1121207	14
1121211	79
1121215	396
1121219	80
1121223	0
1121227	466
1121231	107
1121235	3866
1121239	0
1121243	0
1121247	370
1121251	1532
1121255	0
1121259	1339
1121263	0
1121267	78
1121271	243
1121275	2092
1121279	2929
1121283	4570
1121287	812
1121291	205
1121295	280
1121299	140
1121303	0
1121307	0
1121311	0
1121315	0
1121319	217
1121323	245
1121327	6029
1121331	0
1121335	1088
1121339	0
1121343	0
1121347	538
1121351	0
1121355	1327
1121359	82
1121363	278
1121367	534
1121371	90
1121375	1914
1121379	75
1121383	0
1121387	0
1121391	0
1121395	0
1121399	0
1121403	75
1121407	0
1121411	59
1121415	30
1121419	0
1121423	0
1121427	0
1121431	0
1121435	0
1121439	0
1121443	239
1121447	497
1121451	0
1121455	0
1121459	2072
1121463	0
1121467	140
1121471	0
1121475	0
1121479	0
1121483	8053
1121487	4536
1121491	0
1121495	7466
1121499	0
1121503	40
1121507	0
1121511	700
1121515	3980
1121519	0
1121523	65
1121527	2216
1121531	30
1121535	365
1121539	688
1121543	0
1121547	0
1121551	33
1121555	0
1121559	2322
1121563	200
1121567	0
1121571	0
1121575	549
1121579	0
