MONTH,STORECODE,DAY,BILL_ID,BILL_AMT,QTY,VALUE,PRICE,GRP,SGRP,SSGRP,CMP,MBRD,BRD
M1,N1,4,T406,66.67,1,25,25,BISCUITS - CORE & NON CORE,CREAM,CREAM,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CREME SANDWICH
M1,N1,4,T406,66.67,2,10,5,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,I T C,SUNFEAST YIPPEE NOODLES,SUNFEAST YIPPEE MAGIC MASALA
M1,N1,4,T406,66.67,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
M1,N1,4,T406,66.67,1,9.67,9.67,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,N1,4,T409,10,1,10,10,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS BFF
M1,N1,4,T410,108,1,108,108,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA AGNI,TATA AGNI DUST
M1,N1,4,T411,15,1,5,5,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
M1,N1,4,T411,15,5,10,2,SHAMPOO - BY SEGMENTS,SACHETS,SACHETS,PROCTER & GAMBLE,PANTENE,PANTENE PRO-V NEW
M1,N1,4,T414,10,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
M1,N1,4,T415,10,1,10,10,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
M1,N1,4,T416,109.8,1,95,95,CLEANERS - FLOOR,LIQUIDS,LIQUIDS,S C JOHNSON,MR MUSCLE,MR MUSCLE
M1,N1,4,T416,109.8,1,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,GENERAL MILLS,PILLSBURY,PILLSBURY
M1,N1,4,T416,109.8,1,5,5,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
M1,N1,4,T418,40,4,40,10,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
M1,N1,4,T421,10,1,10,10,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,U FOODS INDIA PVT LTD,YOLI YOLA,YOLI YOLA
M1,N1,4,T424,43,2,24,12,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,N1,4,T424,43,1,19,19,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT
M1,N1,4,T425,250.5,1,90,90,TOOTH PASTES,TOOTH PASTES,TOOTH PASTES,COLGATE-PALMOLIVE,COLGATE MAX FRESH,COLGATE MAX FRESH ICY BLAST
M1,N1,4,T425,250.5,1,26.5,26.5,TOILET SOAPS (04/00),POPULAR,POPULAR,AVA CHOLAYIL HEALTHCARE,MEDIMIX,MEDIMIX CLASSIC
M1,N1,4,T425,250.5,1,134,134,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,WASHING POWDERS/LIQUIDS,PROCTER & GAMBLE,ARIEL,ARIEL COMPLETE
M1,N1,4,T427,200,1,40,40,CHOCOLATE,COUNT,COUNT,FERRERO INDIA PVT LTD,KINDER JOY,KINDER JOY GIRLS
M1,N1,4,T427,200,4,160,40,CHOCOLATE,COUNT,COUNT,FERRERO INDIA PVT LTD,KINDER JOY,KINDER JOY BOYS
M1,N1,4,T428,40,1,5,5,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
M1,N1,4,T428,40,1,10,10,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,N1,4,T428,40,2,20,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,N1,4,T428,40,1,5,5,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
M1,N1,4,T433,10,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CLASSIC SALTED
M1,N1,4,T437,30,1,20,20,BEVERAGES,BROWN POWDERS,BROWN POWDERS,ABBOTT HEALTHCARE LTD,PEDIASURE,PEDIASURE
M1,N1,4,T437,30,1,10,10,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,N1,4,T438,5,1,5,5,CHOCOLATE,COUNT,COUNT,KAYEMPEE FOODS PVT LTD,MR. WAFER,MR. WAFER
M1,N1,4,T439,20,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,N1,4,T439,20,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,N1,4,T440,5,1,5,5,CHOCOLATE,COUNT,COUNT,KAYEMPEE FOODS PVT LTD,MR. WAFER,MR. WAFER
M1,N1,4,T443,23,1,8,8,ANTACIDS,POWDERS,POWDERS,GLAXO SMITHKLINE,ENO,ENO FRUIT SALT
M1,N1,4,T443,23,1,5,5,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,SURYA FOOD & AGRO,PRIYAGOLD,PRIYA GL CHES CRCK
M1,N1,4,T443,23,1,10,10,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,BRITANNIA INDS,50-50,50-50 REGULAR
M1,N1,4,T444,380,1,35,35,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT LITE
M1,N1,4,T444,380,1,44,44,ALL AIR FRESHNERS(01/03),SOLIDS,SOLIDS,DABUR,ODONIL,ODONIL
M1,N1,4,T444,380,3,30,10,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
M1,N1,4,T444,380,1,29,29,TOILET SOAPS (04/00),PREMIUM,PREMIUM,ANCHOR HEALTH,DYNA,DYNA LIME & ALOEVERA
M1,N1,4,T444,380,2,186,93,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
M1,N1,4,T444,380,1,29,29,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
M1,N1,4,T444,380,1,27,27,PRE-POST WASH PRODUCTS,LIQUID BLEACHES,LIQUID BLEACHES,HINDUSTAN UNILEVER LIMITED,RIN,RIN
M1,N1,4,T446,311.4,2,24,12,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,HINDUSTAN UNILEVER LIMITED,KNORR,KNORR DESI
M1,N1,4,T446,311.4,2,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N1,4,T446,311.4,2,58.8,29.4,CLEANERS - UTENSIL,TRADITIONAL,BARS,HINDUSTAN UNILEVER LIMITED,VIM,VIM
M1,N1,4,T446,311.4,5,49,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,NICE TIME,NICE TIME
M1,N1,4,T446,311.4,5,50,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
M1,N1,4,T446,311.4,2,20,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,N1,4,T446,311.4,2,90,45,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,N1,4,T447,30,1,10,10,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,N1,4,T447,30,2,10,5,CONFECTIONERY - LOLLIPOP/FMR,LOLIPOPS,LOLIPOPS,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS
M1,N1,4,T447,30,1,10,10,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BITES
M1,N1,4,T448,10,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,N1,4,T449,34,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,N1,4,T449,34,1,24,24,VERMICELLI & NOODLE,PASTA,PASTA,NESTLE INDIA,MAGGI PAZZTA,MAGGI PAZTA CHESY TOMATO TWIST
M1,N1,4,T450,10,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO STRAWBERRY
M1,N1,4,T452,20,2,20,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,N1,4,T453,59.6,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,N1,4,T453,59.6,1,9.8,9.8,BISCUITS - CORE & NON CORE,GLUCOSE,GLUCOSE,PARLE PRODS,PARLE-G GOLD,PARLE-G GOLD
M1,N1,4,T453,59.6,2,20,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,N1,4,T453,59.6,1,9.8,9.8,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N1,4,T453,59.6,1,10,10,BISCUITS - CORE & NON CORE,NON-SALT CRACKER,NON-SALT CRACKER,PARLE PRODS,PARLE TOP,PARLE TOP
M1,N1,4,T454,80,1,80,80,CHOCOLATE,MOULDED,MOULDED,MONDELEZ INTERNATIONAL,CADBURY DAIRY MILK,FRUIT AND NUT
M1,N1,4,T455,10,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS MAGIC MASALA
M1,N1,4,T457,10,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,OREO CHOCOLATE
M1,N1,4,T458,165,1,5,5,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,PERFETTI VAN MELLE,CHUPA CHUPS,CHUPA CHUPS SOUR BELT
M1,N1,4,T458,165,1,160,160,HOME INSECTICIDES CTG  (8/93),AEROSOL,AEROSOL,GODREJ CONSUMER PRODS,HIT,HIT
M1,N1,4,T459,9.8,1,9.8,9.8,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
M1,N1,4,T460,39,1,39,39,TOILET SOAPS (04/00),PREMIUM,PREMIUM,GODREJ CONSUMER PRODS,GODREJ NO 1,GODREJ NO 1 ROSEWATER & ALMOND
M1,N1,4,T462,320,1,320,320,PACKAGED ATTA (1/95),ATTA,ATTA,SANGHVI FOODS PVT LTD,SILVER COIN,SILVER COIN
M1,N1,4,T463,20,1,20,20,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S CHOCOS FILLS KPAK
M1,N1,4,T464,44.8,7,35,5,BEVERAGES,BROWN POWDERS,BROWN POWDERS,MONDELEZ INTERNATIONAL,BOURNVITA,BOURNVITA
M1,N1,4,T464,44.8,2,9.8,4.9,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,VITA MARIE GOLD
M1,N1,4,T467,10,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
M1,N1,4,T470,151,2,20,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CHILE LIMON
M1,N1,4,T470,151,1,10,10,PACKAGED TEA,MAIN PACKS,MAIN PACKS,TATA GLOBAL BEVERAGES LTD,TATA GOLD,TATA GOLD
M1,N1,4,T470,151,1,73,73,HAIR OILS PKTP(8/02),RIGID,VACNO,MARICO INDS,PARACHUTE,PARACHUTE ADV ALOEVERA ENR CNO
M1,N1,4,T470,151,2,20,10,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,N1,4,T470,151,1,28,28,SPICES (03/04),PURE,CHILLY POWDER-PURE SPICES,S NARENDRA KUMAR,EVEREST,EVEREST
M1,N1,4,T472,46,1,46,46,BUTTER MARGR  (4/94),BUTTER,SALTED,G C M M F,AMUL,AMUL
M1,N1,4,T474,93,1,93,93,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
M1,N1,4,T476,10,1,10,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,MONDELEZ INTERNATIONAL,OREO,GOLDEN OREO
M1,N1,4,T477,40,1,40,40,CHOCOLATE,COUNT,COUNT,FERRERO INDIA PVT LTD,KINDER JOY,KINDER JOY BOYS
M1,N1,4,T478,226,1,125,125,KETCHUPS/SAUCES,KETCHUPS/SAUCES,KETCHUPS/SAUCES,HINDUSTAN UNILEVER LIMITED,KISSAN,KISSAN FRESH KETCHUP
M1,N1,4,T478,226,1,101,101,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
M1,N1,4,T479,86,1,86,86,COCONUT OIL PKTYP (08/02),BRANDED,RIGID,MARICO INDS,PARACHUTE,PARACHUTE
M1,N1,4,T480,83,4,48,12,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
M1,N1,4,T480,83,1,35,35,ALL IODISED SALT,POWDERED SALT,POWDERED SALT,TATA CHEM,TATA,TATA SALT LITE
M1,N1,4,T482,20,2,20,10,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS BFF
M1,N1,4,T483,10,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,N1,4,T484,58,2,58,29,TOOTH BRUSH   (7/93),MANUAL,MANUAL,PROCTER & GAMBLE,ORAL-B,CAVITY DEFENSE BLACK
M1,N1,4,T485,60,3,60,20,BREAKFAST CEREALS,READY TO EAT CEREALS,KIDS,KELLOGG'S INDIA,KELLOGG'S KPAK,KELLOGG'S CHOCOS FILLS KPAK
M1,N1,4,T486,18,2,18,9,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
M1,N1,4,T488,9.8,1,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N1,4,T489,50,3,30,10,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,GENERAL MILLS,PILLSBURY,PILLSBURY
M1,N1,4,T489,50,1,10,10,SALTY SNACKS (2/97),GATHIA/PAPRI/RIBLON,GATHIA/PAPRI/RIBLON,PEPSICO INDIA,KUR KURE,KUR KURE SOLID MASTI
M1,N1,4,T489,50,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,N1,4,T490,10,1,10,10,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),UNICHARM INDIA PVT LTD,MAMY POKO PANTS,MAMY POKO PANTS STANDARD
M1,N1,4,T492,20,2,20,10,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,N1,4,T494,19.6,2,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N1,5,T495,40,2,40,20,DIAPERS       (8/93),DIAPERS       (8/93),DIAPERS       (8/93),PROCTER & GAMBLE,PAMPERS,PAMPERS BABY DRY PANTS
M1,N1,5,T499,19.6,2,19.6,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CASHEW
M1,N1,5,T500,639,1,66,66,VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),VANASPATI CONS PACK (8/94),GODREJ CONSUMER PRODS,GODREJ,GODREJ
M1,N1,5,T500,639,1,10,10,SALTY SNACKS (2/97),EXTRUDED SNACKS,EXTRUDED SNACKS,GUILTFREE INDUSTRIES,TOO YUMM,TOO YUMM MULTIGRAIN CHIPS
M1,N1,5,T500,639,1,109,109,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
M1,N1,5,T500,639,1,220,220,BUTTER MARGR  (4/94),BUTTER,SALTED,G C M M F,AMUL,AMUL
M1,N1,5,T500,639,1,234,234,CHEESE        (4/94),PROCESSED CHEESE,PROCESSED CHEESE,G C M M F,AMUL,AMUL
M1,N1,5,T502,10,1,10,10,AGARBATTI & DHOOPBATTI,AGARBATTI,AGARBATTI,N RANGA RAO & SONS,CYCLE,CYCLE 3 IN 1
M1,N1,5,T503,109,1,109,109,PACKAGED TEA,MAIN PACKS,MAIN PACKS,GUJ TEA PROCESSORS,WAGH BAKRI,WAGH BAKRI PATTI LEAF
M1,N1,5,T505,27,1,5,5,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
M1,N1,5,T505,27,1,12,12,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,N1,5,T505,27,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,N1,5,T506,20,2,20,10,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,TREAT,TREAT JAM
M1,N1,5,T507,45,1,45,45,ALL AIR FRESHNERS(01/03),SOLIDS,SOLIDS,DABUR,ODONIL,ODONIL
M1,N1,5,T508,9.8,1,9.8,9.8,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N1,5,T511,93,1,93,93,REFINED EDIBLE OILS-ALL PACKS,SUN FLOWER,SUN FLOWER,LIBERTY OIL MILLS,SUNDAY,SUNDAY
M1,N1,5,T512,129,1,25,25,BISCUITS - CORE & NON CORE,CREAM,CREAM,PARLE PRODS,PARLE HIDE & SEEK,HIDE & SEEK CREME SANDWICH
M1,N1,5,T512,129,2,10,5,SQSH CRDLS & SFT DRNK-CONVERTD,CONCTN POWDERS,CONCTN POWDERS,MONDELEZ INTERNATIONAL,TANG,TANG
M1,N1,5,T512,129,1,94,94,SKIN CREAMS,ANTISEPTIC CREAMS,ANTISEPTIC CREAMS,HIMALAYA DRUG,HIMALAYA,HIMALAYA DIAPER RASH
M1,N1,5,T513,10,1,10,10,CHOCOLATE,COUNT,COUNT,MONDELEZ INTERNATIONAL,5 STAR,5 STAR
M1,N1,5,T515,31.8,1,9.8,9.8,SCOURING PADS/SCRUBS,SCOURING PADS,SCOURING PADS,YUVRAJ INDUSTRIES,HIC,HIC ALOK SHAKTI
M1,N1,5,T515,31.8,1,10,10,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
M1,N1,5,T515,31.8,1,12,12,VERMICELLI & NOODLE,INSTANT NOODLES,INSTANT NOODLES,NESTLE INDIA,MAGGI,MAGGI MASALA
M1,N1,5,T517,9.8,1,9.8,9.8,BISCUITS - CORE & NON CORE,SWEET/COOKIES,SWEET/COOKIES,BRITANNIA INDS,GOOD DAY,GOOD DAY CHOCOLATE
M1,N1,5,T518,10,1,10,10,CONFECTIONERY - TOFFEE/HBC,TOFFEES,TOFFEES,U FOODS INDIA PVT LTD,YOLI YOLA,YOLI YOLA
M1,N1,5,T519,10,1,10,10,SPICES (03/04),BLENDED,MEAT/MUTTON-NON VEG MASALA,S NARENDRA KUMAR,EVEREST,EVEREST
M1,N1,5,T520,10,2,10,5,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,DETERGENT CAKES/BARS,SHIVANI DETERGENT PVT LTD,SARGAM,SARGAM
M1,N1,5,T521,20,2,20,10,CHOCOLATE,COUNT,COUNT,MARS INTERNATIONAL INDIA P LTD,SNICKERS,SNICKERS
M1,N1,5,T523,59.5,1,10,10,CHOCOLATE,SUGAR PANNED,SUGAR PANNED,MONDELEZ INTERNATIONAL,GEMS,GEMS BFF
M1,N1,5,T523,59.5,2,19.6,9.8,BISCUITS - CORE & NON CORE,CREAM,CREAM,BRITANNIA INDS,BRITANNIA BOURBON,BRITANNIA BOURBON
M1,N1,5,T523,59.5,1,4.9,4.9,BISCUITS - CORE & NON CORE,MARIE,MARIE,BRITANNIA INDS,MARIE GOLD,MARIE GOLD REGULAR
M1,N1,5,T523,59.5,1,5,5,BISCUITS - CORE & NON CORE,SALT CRACKER,SALT CRACKER,PARLE PRODS,MONACO,MONACO
M1,N1,5,T523,59.5,2,20,10,CHOCOLATE,COATED WAFER BISC,COATED WAFER BISC,NESTLE INDIA,KIT KAT,KITKAT
M1,N1,5,T524,30,1,10,10,SALTY SNACKS (2/97),POTATO WAFERS,POTATO WAFERS,PEPSICO INDIA,LAYS,LAYS CARIBBEAN STYLE
M1,N1,5,T524,30,2,10,5,VERMICELLI & NOODLE,NOODLES,NOODLES,SUPREME NUTRI GRAIN PVT LTD,ZOOPY,ZOOPY
